CIDR,ASN,Hits
102.215.56.0/23,14593,2317
102.215.58.0/24,14593,2318
102.215.59.0/24,14593,2317
103.152.126.0/24,14593,2528
103.152.127.0/24,14593,1504
103.235.92.0/24,14593,2526
103.235.93.0/24,14593,1708
103.235.94.0/23,14593,1708
116.91.208.0/23,14593,1386
116.91.210.0/23,14593,2497
116.91.212.0/23,14593,2506
116.91.214.0/24,14593,2509
129.222.0.0/23,14593,1367
129.222.100.0/22,14593,1392
129.222.104.0/24,14593,1422
129.222.105.0/24,14593,1393
129.222.106.0/24,14593,1423
129.222.107.0/24,14593,1362
129.222.108.0/23,14593,1423
129.222.110.0/23,14593,1420
129.222.112.0/22,14593,1377
129.222.116.0/24,14593,1423
129.222.117.0/24,14593,1395
129.222.118.0/23,14593,1366
129.222.120.0/21,14593,1371
129.222.128.0/21,14593,1378
129.222.136.0/21,14593,1371
129.222.144.0/23,14593,2317
129.222.146.0/23,14593,1423
129.222.148.0/23,14593,2322
129.222.150.0/23,14593,1381
129.222.152.0/21,14593,1378
129.222.16.0/21,14593,1371
129.222.160.0/23,14593,1370
129.222.162.0/23,14593,1371
129.222.164.0/24,14593,1423
129.222.165.0/24,14593,1362
129.222.166.0/23,14593,1381
129.222.168.0/21,14593,1421
129.222.176.0/21,14593,1427
129.222.184.0/23,14593,1370
129.222.186.0/23,14593,1362
129.222.188.0/23,14593,1395
129.222.190.0/23,14593,1395
129.222.192.0/21,14593,1381
129.222.2.0/23,14593,1369
129.222.200.0/23,14593,1366
129.222.202.0/23,14593,1425
129.222.204.0/22,14593,2317
129.222.208.0/22,14593,1382
129.222.212.0/23,14593,2322
129.222.214.0/23,14593,1421
129.222.224.0/21,14593,1382
129.222.232.0/21,14593,1382
129.222.24.0/21,14593,1371
129.222.240.0/21,14593,1382
129.222.248.0/21,14593,1363
129.222.32.0/21,14593,1362
129.222.4.0/22,14593,1369
129.222.40.0/21,14593,1378
129.222.48.0/21,14593,1367
129.222.56.0/24,14593,1367
129.222.57.0/24,14593,1367
129.222.58.0/23,14593,1367
129.222.60.0/23,14593,1362
129.222.62.0/23,14593,1362
129.222.64.0/23,14593,1420
129.222.66.0/23,14593,6
129.222.66.0/24,14593,2469
129.222.67.0/24,14593,1364
129.222.68.0/24,14593,1367
129.222.69.0/24,14593,1394
129.222.70.0/23,14593,1422
129.222.72.0/21,14593,1371
129.222.8.0/21,14593,1371
129.222.80.0/21,14593,1363
129.222.88.0/23,14593,1366
129.222.90.0/23,14593,1420
129.222.92.0/24,14593,1369
129.222.93.0/24,14593,1365
129.222.94.0/24,14593,1382
129.222.95.0/24,14593,2320
129.222.96.0/23,14593,1377
129.222.98.0/23,14593,1381
129.224.192.0/21,14593,1372
129.224.200.0/24,14593,1367
129.224.201.0/24,14593,2317
129.224.202.0/24,14593,2317
129.224.204.0/24,14593,2317
129.224.205.0/24,14593,2317
129.224.206.0/24,14593,1393
129.224.207.0/24,14593,1393
129.224.208.0/24,14593,1382
129.224.216.0/24,14593,1386
129.224.217.0/24,14593,1381
129.224.219.0/24,14593,1360
129.224.220.0/24,14593,1360
129.224.223.0/24,14593,1368
135.129.10.0/24,14593,1462
135.129.11.0/24,14593,1464
135.129.112.0/23,14593,1382
135.129.114.0/24,14593,1421
135.129.115.0/24,14593,1389
135.129.116.0/24,14593,1371
135.129.117.0/24,14593,1390
135.129.118.0/23,14593,1366
135.129.12.0/24,14593,1462
135.129.120.0/23,14593,1423
135.129.122.0/24,14593,1374
135.129.123.0/24,14593,1390
135.129.124.0/23,14593,1423
135.129.127.0/24,14593,1423
135.129.13.0/24,14593,1463
135.129.14.0/24,14593,1465
135.129.15.0/24,14593,1458
135.129.16.0/24,14593,1462
135.129.17.0/24,14593,1460
135.129.18.0/24,14593,1394
135.129.19.0/24,14593,1426
135.129.2.0/24,14593,2604
135.129.20.0/24,14593,1460
135.129.21.0/24,14593,1462
135.129.22.0/24,14593,1460
135.129.23.0/24,14593,1463
135.129.24.0/24,14593,1465
135.129.240.0/24,14593,1368
135.129.244.0/24,14593,1389
135.129.248.0/24,14593,1369
135.129.249.0/24,14593,1369
135.129.25.0/24,14593,1458
135.129.250.0/24,14593,1375
135.129.251.0/24,14593,1375
135.129.252.0/24,14593,1396
135.129.253.0/24,14593,1389
135.129.254.0/24,14593,1379
135.129.26.0/24,14593,1460
135.129.27.0/24,14593,1464
135.129.28.0/24,14593,1463
135.129.29.0/24,14593,2600
135.129.3.0/24,14593,1463
135.129.30.0/24,14593,2609
