cidr,country,region,city,pop,code,dns_ptr,pop_dns_ptr_match
14.1.64.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
14.1.65.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
14.1.66.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
14.1.67.0/24,PH,PH-00,Manila,mnlaphl1,mnl,customer.mnlaphl1.pop.starlinkisp.net.,True
14.1.72.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
14.1.73.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
14.1.74.0/24,AU,AU-TAS,Hobart,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
14.1.75.0/24,AU,AU-TAS,Hobart,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
14.1.78.0/24,LK,LK-1,Colombo,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
14.1.79.0/24,LK,LK-1,Colombo,sngesgp1,sin,customer.sngesgp1.pop.starlinkisp.net.,True
14.1.82.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.83.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.84.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.85.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.86.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.87.0/24,AU,AU-NSW,Sydney,sydyaus1,syd,customer.sydyaus1.pop.starlinkisp.net.,True
14.1.94.0/24,AU,AU-VIC,Melbourne,mlbeaus1,mel,customer.mlbeaus1.pop.starlinkisp.net.,True
